word,definition
abalone,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abashed,cause to be embarrassed; cause to feel self-conscious
abaxial,facing away from the axis of an organ or organism
abdomen,the region of the body of a vertebrate between the thorax and the pelvis
abettal,the verbal act of urging on
abettor,one who helps or encourages or incites another
abeyant,inactive but capable of becoming active
abfarad,a capacitance unit equal to one billion farads
abhenry,a unit of inductance equal to one billionth of a henry
abiding,dwell
ability,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
abjurer,a person who abjures
abolish,do away with
aborted,terminate before completion
abortus,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body
abrader,a tool or machine used for wearing down or smoothing or polishing
abraham,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son"
abramis,European fishes
abreact,discharge bad feelings or tension through verbalization
abreast,being up to particular standard or level especially in being up to date in knowledge
abridge,reduce in scope while retaining essential elements
abroach,of a cask or barrel
abronia,genus of western North American herbs having showy flowers
abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue
abscise,shed flowers and leaves and fruit following formation of a scar tissue
abscond,run away; usually includes taking something or somebody along
absence,the state of being absent
absolve,grant remission of a sin to
abstain,refrain from voting
abusive,expressing offensive reproach
abutter,the owner of contiguous property
abysmal,very great; limitless
abyssal,relating to ocean depths from 2000 to 5000 meters
academe,the academic world
academy,a secondary school (usually private)
acadian,an early French settler in the Maritimes
acantha,any sharply pointed projection
acapnia,a state in which the level of carbon dioxide in the blood is lower than normal; can result from deep or rapid breathing
acardia,congenital absence of the heart (as in the development of some monsters)
acarina,mites and ticks
acarine,mite or tick
acaudal,lacking a tail or taillike appendage
acclaim,enthusiastic approval
account,a record or narrative description of past events
accrete,grow together (of plants and organs)
accrual,the act of accumulating
accurse,curse or declare to be evil or anathema or threaten with divine punishment
accusal,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
accused,a defendant in a criminal proceeding
accuser,someone who imputes guilt or blame
acerate,narrow and long and pointed; as pine leaves
acerbic,sour or bitter in taste
acerose,narrow and long and pointed; as pine leaves
acetate,a salt or ester of acetic acid
acetify,make sour or more sour
acetone,the simplest ketone; a highly inflammable liquid widely used as an organic solvent and as material for making plastics
acetose,tasting or smelling like vinegar
acetous,tasting or smelling like vinegar
achaean,a member of one of four linguistic divisions of the prehistoric Greeks
achieve,to gain with effort
acholia,a condition in which little or no bile is secreted or the flow of bile into the digestive tract is obstructed
achylia,absence of gastric juices (partial or complete)
acicula,a needlelike part or structure of a plant or animal or crystal; as a spine or bristle or crystal
acidify,make sour or more sour
acidity,the property of being acidic
acinose,pertaining to one of the small sacs (as in a compound gland)
acinous,pertaining to one of the small sacs (as in a compound gland)
acolyte,someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
aconite,any of various usually poisonous plants of the genus Aconitum having tuberous roots and palmately lobed leaves and blue or white flowers
acquire,come into the possession of something concrete or abstract
acreage,an area of ground used for some particular purpose (such as building or farming)
acrobat,an athlete who performs acts requiring skill and agility and coordination
acrogen,any flowerless plant such as a fern (pteridophyte) or moss (bryophyte) in which growth occurs only at the tip of the main stem
acronym,a word formed from the initial letters of the several words in the name
acrylic,polymerized from acrylonitrile
actable,capable of being acted; suitable for the stage
