word,definition
aalii,a small Hawaiian tree with hard dark wood
aaron,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
abaca,a kind of hemp obtained from the abaca plant in the Philippines
aback,having the wind against the forward side of the sails
abaft,at or near or toward the stern of a ship or tail of an airplane
abase,cause to feel shame; hurt the pride of
abash,cause to be embarrassed; cause to feel self-conscious
abate,make less active or intense
abbey,a church associated with a monastery or convent
abbot,the superior of an abbey of monks
abeam,at right angles to the length of a ship or airplane
abele,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abhor,find repugnant
abide,dwell
abies,true firs
abler,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
abode,any address at which you dwell more than temporarily
abohm,a unit of resistance equal to a billionth of an ohm
abort,the act of terminating a project or procedure before it is completed
about,on the move
above,an earlier section of a written text
abuse,cruel or inhumane treatment
abuzz,noisy like the sound of a bee
abysm,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
abyss,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
acari,any of several mites of the order Acarina
acerb,sour or bitter in taste
acold,of persons; feeling cold; - Shakespeare
acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
acrid,strong and sharp
actin,one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
actor,a theatrical performer
acute,a mark (') placed above a vowel to indicate pronunciation
adage,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
adapa,a Babylonian demigod or first man (sometimes identified with Adam)
adapt,"make fit for, or change to suit a new purpose"
addax,large antelope with lightly spiraled horns of desert regions of northern Africa
added,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
adder,a person who adds numbers
addle,mix up or confuse
adept,someone who is dazzlingly skilled in any field
adieu,a farewell remark
adman,someone whose business is advertising
admit,declare to be true or admit the existence or reality or truth of
admix,mix or blend
adobe,the clay from which adobe bricks are made
adopt,"choose and follow; as of theories, ideas, policies, strategies or plans"
adore,love intensely
adorn,"make more attractive by adding ornament, colour, etc."
adult,a fully developed person from maturity onward
adust,dried out by heat or excessive exposure to sunlight
aedes,yellow-fever mosquitos
aegis,kindly endorsement and guidance
aerie,the lofty nest of a bird of prey (such as a hawk or eagle)
affix,a linguistic element added to a word to produce an inflected or derived form
afire,lighted up by or as by fire or flame
afoot,traveling by foot
afoul,especially of a ship's lines etc
after,located farther aft
again,anew
agama,small terrestrial lizard of warm regions of the Old World
agape,(Christian theology) the love of God or Christ for mankind
agate,an impure form of quartz consisting of banded chalcedony; used as a gemstone and for making mortars and pestles
agave,tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber
agaze,(used of eyes) open and fixed as if in fear or wonder
agent,an active and efficient cause; capable of producing a certain effect
aghan,the ninth month of the Hindu calendar
agile,moving quickly and lightly
aging,acquiring desirable qualities by being left undisturbed for some time
aglet,metal or plastic sheath over the end of a shoelace or ribbon
aglow,softly bright or radiant
agone,gone by; or in the past
agony,intense feelings of suffering; acute mental or physical pain
agora,100 agorot equal 1 shekel in Israel
agree,be in accord; be in agreement
ahead,having the leading position or higher score in a contest
ahura,(Zoroastrianism) title for benevolent deities
aides,(Greek mythology) the god of the underworld in ancient mythology; brother of Zeus and husband of Persephone
aisle,a long narrow passage (as in a cave or woods)
ajuga,bugle
alamo,a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
alarm,fear resulting from the awareness of danger
alary,having or resembling wings
alate,(of seeds or insects) having winglike extensions
albee,United States dramatist (1928-)
album,one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
alces,elk or moose
alder,wood of any of various alder trees; resistant to underwater rot; used for bridges etc
aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO)
aleph,the 1st letter of the Hebrew alphabet
alert,condition of heightened watchfulness or preparation for action
aleut,a member of the people inhabiting the Aleutian Islands and southwestern Alaska
algae,primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
algal,of or relating to alga
algid,chilly
algin,a gum used especially as a thickener or emulsifier
algol,the second brightest star in Perseus; the first known eclipsing binary
alias,a name that has been assumed temporarily
alibi,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
alien,a person who comes from a foreign country; someone who does not owe allegiance to your country
align,place in a line or arrange so as to be parallel or straight
alike,having the same or similar characteristics
aline,place in a line or arrange so as to be parallel or straight
alive,possessing life
alkyd,a durable synthetic resin widely used in adhesives and paints
alkyl,any of a series of univalent groups of the general formula CnH2n+1 derived from aliphatic hydrocarbons
allah,Muslim name for the one and only God
allay,lessen the intensity of or calm
allen,"United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)"
aller,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
alley,a narrow street with walls on both sides
allot,give out
allow,make it possible through a specific action or lack of action for something to happen
alloy,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allyl,the univalent unsaturated organic radical C3H5; derived from propylene
alnus,alders
aloft,at or on or to the masthead or upper rigging of a ship
alone,isolated from others
along,with a forward motion
aloof,remote in manner
alosa,shad
aloud,using the voice; not silently
alpha,the 1st letter of the Greek alphabet
altar,the table in Christian churches where communion is given
alter,cause to change; make different; cause a transformation
alula,scalelike structure between the base of the wing and the halter of a two-winged fly
amain,at full speed; with great haste
amass,collect or gather
amati,Italian violin maker in Cremona; taught the craft to Guarneri and Stradivari (1596-1684)
amaze,affect with wonder
amber,a deep yellow color
ambit,an area in which something acts or operates or has power or control:
amble,a leisurely walk (usually in some public place)
ambos,a platform raised above the surrounding level to give prominence to the person on it
amend,make amendments to
ament,a cylindrical spikelike inflorescence
amide,any organic compound containing the group -CONH2
amigo,a friend or comrade
amine,a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
amino,the radical -NH2
amish,an American follower of the Mennonite religion
amiss,not functioning properly
amity,a cordial disposition
amman,the capital and largest city of Jordan
amnia,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
amnic,of or related to the amnion or characterized by developing an amnion
amort,utterly cast down
amour,a usually secretive or illicit sexual relationship
ample,more than enough in size or scope or capacity
amply,to an ample degree or in an ample manner
ampul,a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
amuck,frenzied as if possessed by a demon
amuse,"occupy in an agreeable, entertaining or pleasant fashion"
anasa,squash bugs
anele,administer an oil or ointment to ; often in a religious ceremony of blessing
angel,spiritual being attendant upon God
anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance
angle,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
angry,feeling or showing anger
angst,an acute but unspecific feeling of anxiety; usually reserved for philosophical anxiety about the world or about personal freedom
angus,Celtic god of love and beauty; patron deity of young men and women
anile,of or like a feeble old woman
anima,(Jungian psychology) the inner self (not the external persona) that is in touch with the unconscious
anime,a hard copal derived from an African tree
anion,a negatively charged ion
anise,native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery
anjou,a former province of western France in the Loire valley
ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
ankus,an elephant goad with a sharp spike and a hook
annam,a communist state in Indochina on the South China Sea; achieved independence from France in 1945
annex,an addition that extends a main building
annoy,"cause annoyance in; disturb, especially by minor irritations"
annul,declare invalid
anode,a positively charged electrode by which electrons leave an electrical device
anole,small arboreal tropical American insectivorous lizards with the ability to change skin color
anomy,personal state of isolation and anxiety resulting from a lack of social control and regulation
anser,typical geese
antes,(poker) the initial contribution that each player makes to the pot
antic,a ludicrous or grotesque act done for fun and amusement
antra,a natural cavity or hollow in a bone
antum,Babylonian consort of Anu
anura,"frogs, toads, tree toads"
anvil,a heavy block of iron or steel on which hot metals are shaped by hammering
anzac,a soldier in the Australian and New Zealand army corps during World War I
aorta,the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
aotus,douroucoulis
apace,with rapid movements
apart,remote and separate physically or socially; ; - W.H.Hudson
apery,the act of mimicking; imitative behavior
aphid,any of various small plant-sucking insects
aphis,type genus of the Aphididae: injurious to fruit trees and vegetables
apian,relating to or having the characteristics of bees
aping,imitate uncritically and in every aspect
apios,twining perennial North American plants
apish,being or given to servile imitation
apium,celery
apnea,transient cessation of respiration
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
apply,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
april,the month following March and preceding May
apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
apsis,a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
aptly,with competence; in a competent capable manner
arbor,tree (as opposed to shrub)
ardea,type genus of the Ardeidae: large New and Old World herons
ardeb,a unit of dry measure used in Egypt
ardor,a feeling of strong eagerness (usually in favor of a person or cause)
areal,of or relating to or involving an area
areca,any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
